image_name,label
cloud_1.tif,1
cloud_2.tif,1
cloud_3.tif,1
cloud_4.tif,1
cloud_5.tif,1
cloud_6.tif,1
cloud_7.tif,1
cloud_8.tif,1
cloud_9.tif,1
cloud_10.tif,1
cloud_11.tif,1
cloud_12.tif,1
cloud_13.tif,1
cloud_14.tif,1
cloud_15.tif,1
cloud_16.tif,1
cloud_17.tif,1
cloud_18.tif,1
cloud_19.tif,1
cloud_20.tif,1
cloud_21.tif,1
cloud_22.tif,1
cloud_23.tif,1
cloud_24.tif,1
cloud_25.tif,1
cloud_26.tif,1
cloud_27.tif,1
cloud_28.tif,1
cloud_29.tif,1
cloud_30.tif,1
cloud_31.tif,1
cloud_32.tif,1
cloud_33.tif,1
cloud_34.tif,1
cloud_35.tif,1
cloud_36.tif,1
cloud_37.tif,1
cloud_38.tif,1
cloud_39.tif,1
cloud_40.tif,1
cloud_41.tif,1
cloud_42.tif,1
cloud_43.tif,1
cloud_44.tif,1
cloud_45.tif,1
cloud_46.tif,1
cloud_47.tif,1
cloud_48.tif,1
cloud_49.tif,1
cloud_50.tif,1
cloud_51.tif,1
cloud_52.tif,1
cloud_53.tif,1
cloud_54.tif,1
cloud_55.tif,1
cloud_56.tif,1
cloud_57.tif,1
cloud_58.tif,1
cloud_59.tif,1
cloud_60.tif,1
cloud_61.tif,1
cloud_62.tif,1
cloud_63.tif,1
cloud_64.tif,1
cloud_65.tif,1
cloud_66.tif,1
cloud_67.tif,1
cloud_68.tif,1
cloud_69.tif,1
cloud_70.tif,1
cloud_71.tif,1
cloud_72.tif,1
cloud_73.tif,1
cloud_74.tif,1
cloud_75.tif,1
cloud_76.tif,1
cloud_77.tif,1
cloud_78.tif,1
cloud_79.tif,1
cloud_80.tif,1
cloud_81.tif,1
cloud_82.tif,1
cloud_83.tif,1
cloud_84.tif,1
cloud_85.tif,1
cloud_86.tif,1
cloud_87.tif,1
cloud_88.tif,1
cloud_89.tif,1
cloud_90.tif,1
cloud_91.tif,1
cloud_92.tif,1
cloud_93.tif,1
cloud_94.tif,1
cloud_95.tif,1
cloud_96.tif,1
cloud_97.tif,1
cloud_98.tif,1
cloud_99.tif,1
cloud_100.tif,1
cloud_101.tif,1
cloud_102.tif,1
cloud_103.tif,1
cloud_104.tif,1
cloud_105.tif,1
cloud_106.tif,1
cloud_107.tif,1
cloud_108.tif,1
cloud_109.tif,1
cloud_110.tif,1
cloud_111.tif,1
cloud_112.tif,1
cloud_113.tif,1
cloud_114.tif,1
cloud_115.tif,1
cloud_116.tif,1
cloud_117.tif,1
cloud_118.tif,1
cloud_119.tif,1
cloud_120.tif,1
cloud_121.tif,1
cloud_122.tif,1
cloud_123.tif,1
cloud_124.tif,1
cloud_125.tif,1
cloud_126.tif,1
cloud_127.tif,1
cloud_128.tif,1
cloud_129.tif,1
cloud_130.tif,1
cloud_131.tif,1
cloud_132.tif,1
cloud_133.tif,1
cloud_134.tif,1
cloud_135.tif,1
cloud_136.tif,1
cloud_137.tif,1
cloud_138.tif,1
cloud_139.tif,1
cloud_140.tif,1
cloud_141.tif,1
cloud_142.tif,1
cloud_143.tif,1
cloud_144.tif,1
cloud_145.tif,1
cloud_146.tif,1
cloud_147.tif,1
cloud_148.tif,1
cloud_149.tif,1
cloud_150.tif,1
cloud_151.tif,1
cloud_152.tif,1
cloud_153.tif,1
cloud_154.tif,1
cloud_155.tif,1
cloud_156.tif,1
cloud_157.tif,1
cloud_158.tif,1
cloud_159.tif,1
cloud_160.tif,1
cloud_161.tif,1
